Transaction ID,Transaction Date,Customer ID,Customer Type,Product ID,Product Name,Product Category,Region,Sales Channel,Sales Rep ID,Quantity,Unit Price,Discount (%),Revenue,Cost/COGS
TRX-20230314-00001,2023-03-14,CUST-0648,Wholesale,PRD-01,Minyak Goreng 2L,Food,Jabodetabek,Distributor,REP-04,36,35000,5,1197000.0,1008000
TRX-20240116-00002,2024-01-16,CUST-0058,Wholesale,PRD-03,Gula Pasir 1kg,Food,Jabodetabek,Direct,REP-04,23,16000,10,331200.0,299000
TRX-20251013-00003,2025-10-13,CUST-0311,Retail,PRD-10,Sabun Mandi Batang,Personal Care,Jabodetabek,Distributor,REP-08,5,5000,0,25000.0,17500
TRX-20240918-00004,2024-09-18,CUST-0104,Retail,PRD-06,Teh Celup Box,Beverages,Sulawesi,Modern Trade,REP-04,2,9000,0,18000.0,13000
TRX-20240331-00005,2024-03-31,CUST-0743,Retail,PRD-01,Minyak Goreng 2L,Food,Jawa Tengah,Distributor,REP-04,1,35000,10,31500.0,28000
TRX-20230424-00006,2023-04-24,CUST-0749,Wholesale,PRD-02,Beras Premium 5kg,Food,Jawa Barat,Distributor,REP-01,47,65000,5,2902250.0,2491000
TRX-20231208-00007,2023-12-08,CUST-0316,Wholesale,PRD-05,Kopi Bubuk 200g,Beverages,Jawa Barat,Distributor,REP-01,31,22000,0,682000.0,496000
TRX-20230510-00008,2023-05-10,CUST-0466,Retail,PRD-04,Tepung Terigu 1kg,Food,Jawa Tengah,Modern Trade,REP-02,6,12500,0,75000.0,60000
TRX-20250620-00009,2025-06-20,CUST-0025,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jabodetabek,Distributor,REP-04,7,22000,0,154000.0,112000
TRX-20240322-00010,2024-03-22,CUST-0390,Wholesale,PRD-11,Shampoo 170ml,Personal Care,Jawa Tengah,Online,REP-03,45,24000,0,1080000.0,810000
TRX-20240401-00011,2024-04-01,CUST-0083,Retail,PRD-09,Pemberi Lantai 900ml,Home Care,Jabodetabek,Direct,REP-06,6,18000,0,108000.0,81000
TRX-20230411-00012,2023-04-11,CUST-0359,Wholesale,PRD-12,Pasta Gigi 150g,Personal Care,Jabodetabek,Online,REP-04,30,15000,15,382500.0,330000
TRX-20240524-00013,2024-05-24,CUST-0183,New,PRD-02,Beras Premium 5kg,Food,Jabodetabek,Distributor,REP-06,3,65000,0,195000.0,159000
TRX-20230801-00014,2023-08-01,CUST-0242,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jabodetabek,Direct,REP-08,4,22000,5,83600.0,64000
TRX-20240524-00015,2024-05-24,CUST-0708,Retail,PRD-02,Beras Premium 5kg,Food,Jabodetabek,Online,REP-08,6,65000,15,331500.0,318000
TRX-20260217-00016,2026-02-17,CUST-0393,Retail,PRD-09,Pemberi Lantai 900ml,Home Care,Jawa Tengah,Distributor,REP-05,8,18000,0,144000.0,108000
TRX-20250802-00017,2025-08-02,CUST-0079,Wholesale,PRD-01,Minyak Goreng 2L,Food,Jabodetabek,Distributor,REP-03,37,35000,0,1295000.0,1036000
TRX-20240212-00018,2024-02-12,CUST-0483,Retail,PRD-08,Deterjen Bubuk 800g,Home Care,Jabodetabek,Distributor,REP-08,4,25000,0,100000.0,76000
TRX-20240317-00019,2024-03-17,CUST-0261,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jawa Tengah,Online,REP-08,6,22000,5,125400.0,96000
TRX-20231125-00020,2023-11-25,CUST-0463,Retail,PRD-02,Beras Premium 5kg,Food,Jabodetabek,Direct,REP-04,2,65000,15,110500.0,106000
TRX-20240105-00021,2024-01-05,CUST-0778,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jabodetabek,Distributor,REP-02,6,22000,10,118800.0,96000
TRX-20240502-00023,2024-05-02,CUST-0124,Retail,PRD-10,Sabun Mandi Batang,Personal Care,Jawa Tengah,Modern Trade,REP-06,2,5000,20,8000.0,7000
TRX-20230502-00024,2023-05-02,CUST-0544,Wholesale,PRD-07,Susu UHT 1L,Beverages,Sumatera,Direct,REP-07,13,19000,0,247000.0,188500
TRX-20240624-00025,2024-06-24,CUST-0213,Retail,PRD-04,Tepung Terigu 1kg,Food,Jawa Timur,Direct,REP-03,5,12500,0,62500.0,50000
TRX-20230123-00026,2023-01-23,CUST-0413,Retail,PRD-07,Susu UHT 1L,Beverages,Jawa Tengah,Modern Trade,REP-05,1,19000,0,19000.0,14500
TRX-20230509-00027,2023-05-09,CUST-0261,Retail,PRD-03,Gula Pasir 1kg,Food,Sulawesi,Direct,REP-08,8,16000,20,102400.0,104000
TRX-20250720-00028,2025-07-20,CUST-0598,Retail,PRD-10,Sabun Mandi Batang,Personal Care,Jawa Timur,Direct,REP-01,9,5000,0,45000.0,31500
