Transaction ID,Transaction Date,Customer ID,Customer Type,Product ID,Product Name,Product Category,Region,Sales Channel,Sales Rep ID,Quantity,Unit Price,Discount (%),Revenue,Cost/COGS
TRX-20230314-00001,2023-03-14,CUST-0648,Wholesale,PRD-01,Minyak Goreng 2L,Food,Jabodetabek,Distributor,REP-04,43,35000,5,1429750.0,1204000
TRX-20240303-00002,2024-03-03,CUST-0539,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jabodetabek,Distributor,REP-03,11,22000,5,229900.0,176000
TRX-20241023-00003,2024-10-23,CUST-0442,Retail,PRD-04,Tepung Terigu 1kg,Food,Sulawesi,Online,REP-07,3,12500,0,37500.0,30000
TRX-20241018-00004,2024-10-18,CUST-0400,Wholesale,PRD-12,Pasta Gigi 150g,Personal Care,Sulawesi,Distributor,REP-06,26,15000,0,390000.0,286000
TRX-20260625-00005,2026-06-25,CUST-0364,Retail,PRD-01,Minyak Goreng 2L,Food,Jawa Timur,Distributor,REP-06,7,35000,0,245000.0,196000
TRX-20240425-00006,2024-04-25,CUST-0663,New,PRD-02,Beras Premium 5kg,Food,Jabodetabek,Distributor,REP-02,7,65000,20,364000.0,371000
TRX-20231107-00007,2023-11-07,CUST-0262,New,PRD-03,Gula Pasir 1kg,Food,Jawa Timur,Distributor,REP-04,4,16000,20,51200.0,52000
TRX-20260524-00008,2026-05-24,CUST-0670,Retail,PRD-06,Teh Celup Box,Beverages,Jabodetabek,Direct,REP-06,4,9000,0,36000.0,26000
TRX-20230923-00009,2023-09-23,CUST-0537,Retail,PRD-02,Beras Premium 5kg,Food,Jabodetabek,Modern Trade,REP-04,6,65000,10,351000.0,318000
TRX-20240426-00010,2024-04-26,CUST-0392,Retail,PRD-05,Kopi Bubuk 200g,Beverages,Jabodetabek,Direct,REP-04,7,22000,0,154000.0,112000
TRX-20240322-00011,2024-03-22,CUST-0390,Wholesale,PRD-11,Shampoo 170ml,Personal Care,Jawa Tengah,Online,REP-03,40,24000,0,960000.0,720000
TRX-20231211-00012,2023-12-11,CUST-0642,Retail,PRD-11,Shampoo 170ml,Personal Care,Jawa Timur,Online,REP-07,3,24000,25,54000.0,54000
