Period,Region,Sales Target
2023-01,Jabodetabek,19200000.0
2023-01,Jawa Barat,10200000.0
2023-01,Jawa Tengah,8900000.0
2023-01,Jawa Timur,8200000.0
2023-01,Sulawesi,2500000.0
2023-01,Sumatera,4800000.0
2023-02,Jabodetabek,19200000.0
2023-02,Jawa Barat,10200000.0
2023-02,Jawa Tengah,8900000.0
2023-02,Jawa Timur,8200000.0
2023-02,Sulawesi,2500000.0
2023-02,Sumatera,4800000.0
2023-03,Jabodetabek,23040000.0
2023-03,Jawa Barat,12240000.0
2023-03,Jawa Tengah,10680000.0
2023-03,Jawa Timur,9840000.0
2023-03,Sulawesi,3000000.0
2023-03,Sumatera,5760000.0
2023-04,Jabodetabek,23040000.0
2023-04,Jawa Barat,12240000.0
2023-04,Jawa Tengah,10680000.0
2023-04,Jawa Timur,9840000.0
2023-04,Sulawesi,3000000.0
2023-04,Sumatera,5760000.0
2023-05,Jabodetabek,19200000.0
2023-05,Jawa Barat,10200000.0
2023-05,Jawa Tengah,8900000.0
2023-05,Jawa Timur,8200000.0
2023-05,Sulawesi,2500000.0
2023-05,Sumatera,4800000.0
2023-06,Jabodetabek,19200000.0
2023-06,Jawa Barat,10200000.0
2023-06,Jawa Tengah,8900000.0
2023-06,Jawa Timur,8200000.0
2023-06,Sulawesi,2500000.0
2023-06,Sumatera,4800000.0
2023-07,Jabodetabek,19200000.0
2023-07,Jawa Barat,10200000.0
2023-07,Jawa Tengah,8900000.0
2023-07,Jawa Timur,8200000.0
2023-07,Sulawesi,2500000.0
2023-07,Sumatera,4800000.0
2023-08,Jabodetabek,19200000.0
2023-08,Jawa Barat,10200000.0
2023-08,Jawa Tengah,8900000.0
2023-08,Jawa Timur,8200000.0
2023-08,Sulawesi,2500000.0
2023-08,Sumatera,4800000.0
2023-09,Jabodetabek,19200000.0
2023-09,Jawa Barat,10200000.0
2023-09,Jawa Tengah,8900000.0
2023-09,Jawa Timur,8200000.0
2023-09,Sulawesi,2500000.0
2023-09,Sumatera,4800000.0
2023-10,Jabodetabek,19200000.0
2023-10,Jawa Barat,10200000.0
2023-10,Jawa Tengah,8900000.0
2023-10,Jawa Timur,8200000.0
2023-10,Sulawesi,2500000.0
2023-10,Sumatera,4800000.0
2023-11,Jabodetabek,19200000.0
2023-11,Jawa Barat,10200000.0
2023-11,Jawa Tengah,8900000.0
2023-11,Jawa Timur,8200000.0
2023-11,Sulawesi,2500000.0
2023-11,Sumatera,4800000.0
2023-12,Jabodetabek,23040000.0
2023-12,Jawa Barat,12240000.0
2023-12,Jawa Tengah,10680000.0
2023-12,Jawa Timur,9840000.0
2023-12,Sulawesi,3000000.0
2023-12,Sumatera,5760000.0
2024-01,Jabodetabek,21504000.0
2024-01,Jawa Barat,11424000.0
2024-01,Jawa Tengah,9968000.0
2024-01,Jawa Timur,9184000.0
2024-01,Sulawesi,2800000.0
2024-01,Sumatera,5376000.0
2024-02,Jabodetabek,21504000.0
2024-02,Jawa Barat,11424000.0
2024-02,Jawa Tengah,9968000.0
2024-02,Jawa Timur,9184000.0
2024-02,Sulawesi,2800000.0
2024-02,Sumatera,5376000.0
2024-03,Jabodetabek,25804800.0
2024-03,Jawa Barat,13708800.0
2024-03,Jawa Tengah,11961600.0
2024-03,Jawa Timur,11020800.0
2024-03,Sulawesi,3360000.0
2024-03,Sumatera,6451200.0
2024-04,Jabodetabek,25804800.0
2024-04,Jawa Barat,13708800.0
2024-04,Jawa Tengah,11961600.0
2024-04,Jawa Timur,11020800.0
2024-04,Sulawesi,3360000.0
2024-04,Sumatera,6451200.0
2024-05,Jabodetabek,21504000.0
2024-05,Jawa Barat,11424000.0
2024-05,Jawa Tengah,9968000.0
2024-05,Jawa Timur,9184000.0
2024-05,Sulawesi,2800000.0
2024-05,Sumatera,5376000.0
2024-06,Jabodetabek,21504000.0
2024-06,Jawa Barat,11424000.0
2024-06,Jawa Tengah,9968000.0
2024-06,Jawa Timur,9184000.0
2024-06,Sulawesi,2800000.0
2024-06,Sumatera,5376000.0
2024-07,Jabodetabek,21504000.0
2024-07,Jawa Barat,11424000.0
2024-07,Jawa Tengah,9968000.0
2024-07,Jawa Timur,9184000.0
2024-07,Sulawesi,2800000.0
2024-07,Sumatera,5376000.0
2024-08,Jabodetabek,21504000.0
2024-08,Jawa Barat,11424000.0
2024-08,Jawa Tengah,9968000.0
2024-08,Jawa Timur,9184000.0
2024-08,Sulawesi,2800000.0
2024-08,Sumatera,5376000.0
2024-09,Jabodetabek,21504000.0
2024-09,Jawa Barat,11424000.0
2024-09,Jawa Tengah,9968000.0
2024-09,Jawa Timur,9184000.0
2024-09,Sulawesi,2800000.0
2024-09,Sumatera,5376000.0
2024-10,Jabodetabek,21504000.0
2024-10,Jawa Barat,11424000.0
2024-10,Jawa Tengah,9968000.0
2024-10,Jawa Timur,9184000.0
2024-10,Sulawesi,2800000.0
2024-10,Sumatera,5376000.0
2024-11,Jabodetabek,21504000.0
2024-11,Jawa Barat,11424000.0
2024-11,Jawa Tengah,9968000.0
2024-11,Jawa Timur,9184000.0
2024-11,Sulawesi,2800000.0
2024-11,Sumatera,5376000.0
2024-12,Jabodetabek,25804800.0
2024-12,Jawa Barat,13708800.0
2024-12,Jawa Tengah,11961600.0
2024-12,Jawa Timur,11020800.0
2024-12,Sulawesi,3360000.0
2024-12,Sumatera,6451200.0
2025-01,Jabodetabek,23808000.0
2025-01,Jawa Barat,12648000.0
2025-01,Jawa Tengah,11036000.0
2025-01,Jawa Timur,10168000.0
2025-01,Sulawesi,3100000.0
2025-01,Sumatera,5952000.0
2025-02,Jabodetabek,23808000.0
2025-02,Jawa Barat,12648000.0
2025-02,Jawa Tengah,11036000.0
2025-02,Jawa Timur,10168000.0
2025-02,Sulawesi,3100000.0
2025-02,Sumatera,5952000.0
2025-03,Jabodetabek,28569600.0
2025-03,Jawa Barat,15177600.0
2025-03,Jawa Tengah,13243200.0
2025-03,Jawa Timur,12201600.0
2025-03,Sulawesi,3720000.0
2025-03,Sumatera,7142400.0
2025-04,Jabodetabek,28569600.0
2025-04,Jawa Barat,15177600.0
2025-04,Jawa Tengah,13243200.0
2025-04,Jawa Timur,12201600.0
2025-04,Sulawesi,3720000.0
2025-04,Sumatera,7142400.0
2025-05,Jabodetabek,23808000.0
2025-05,Jawa Barat,12648000.0
2025-05,Jawa Tengah,11036000.0
2025-05,Jawa Timur,10168000.0
2025-05,Sulawesi,3100000.0
2025-05,Sumatera,5952000.0
2025-06,Jabodetabek,23808000.0
2025-06,Jawa Barat,12648000.0
2025-06,Jawa Tengah,11036000.0
2025-06,Jawa Timur,10168000.0
2025-06,Sulawesi,3100000.0
2025-06,Sumatera,5952000.0
2025-07,Jabodetabek,23808000.0
2025-07,Jawa Barat,12648000.0
2025-07,Jawa Tengah,11036000.0
2025-07,Jawa Timur,10168000.0
2025-07,Sulawesi,3100000.0
2025-07,Sumatera,5952000.0
2025-08,Jabodetabek,23808000.0
2025-08,Jawa Barat,12648000.0
2025-08,Jawa Tengah,11036000.0
2025-08,Jawa Timur,10168000.0
2025-08,Sulawesi,3100000.0
2025-08,Sumatera,5952000.0
2025-09,Jabodetabek,23808000.0
2025-09,Jawa Barat,12648000.0
2025-09,Jawa Tengah,11036000.0
2025-09,Jawa Timur,10168000.0
2025-09,Sulawesi,3100000.0
2025-09,Sumatera,5952000.0
2025-10,Jabodetabek,23808000.0
2025-10,Jawa Barat,12648000.0
2025-10,Jawa Tengah,11036000.0
2025-10,Jawa Timur,10168000.0
2025-10,Sulawesi,3100000.0
2025-10,Sumatera,5952000.0
2025-11,Jabodetabek,23808000.0
2025-11,Jawa Barat,12648000.0
2025-11,Jawa Tengah,11036000.0
2025-11,Jawa Timur,10168000.0
2025-11,Sulawesi,3100000.0
2025-11,Sumatera,5952000.0
2025-12,Jabodetabek,28569600.0
2025-12,Jawa Barat,15177600.0
2025-12,Jawa Tengah,13243200.0
2025-12,Jawa Timur,12201600.0
2025-12,Sulawesi,3720000.0
2025-12,Sumatera,7142400.0
2026-01,Jabodetabek,26112000.0
2026-01,Jawa Barat,13872000.0
2026-01,Jawa Tengah,12104000.0
2026-01,Jawa Timur,11152000.0
2026-01,Sulawesi,3400000.0
2026-01,Sumatera,6528000.0
2026-02,Jabodetabek,26112000.0
2026-02,Jawa Barat,13872000.0
2026-02,Jawa Tengah,12104000.0
2026-02,Jawa Timur,11152000.0
2026-02,Sulawesi,3400000.0
2026-02,Sumatera,6528000.0
2026-03,Jabodetabek,31334400.0
2026-03,Jawa Barat,16646400.0
2026-03,Jawa Tengah,14524800.0
2026-03,Jawa Timur,13382400.0
2026-03,Sulawesi,4080000.0
2026-03,Sumatera,7833600.0
2026-04,Jabodetabek,31334400.0
2026-04,Jawa Barat,16646400.0
2026-04,Jawa Tengah,14524800.0
2026-04,Jawa Timur,13382400.0
2026-04,Sulawesi,4080000.0
2026-04,Sumatera,7833600.0
2026-05,Jabodetabek,26112000.0
2026-05,Jawa Barat,13872000.0
2026-05,Jawa Tengah,12104000.0
2026-05,Jawa Timur,11152000.0
2026-05,Sulawesi,3400000.0
2026-05,Sumatera,6528000.0
2026-06,Jabodetabek,26112000.0
2026-06,Jawa Barat,13872000.0
2026-06,Jawa Tengah,12104000.0
2026-06,Jawa Timur,11152000.0
2026-06,Sulawesi,3400000.0
2026-06,Sumatera,6528000.0
